#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_syn,0.970276757613,0.997974626289,0.914915372449,0.981259600379,0.961726451836,0.988954552849
005_5_syn,0.968089218051,0.996946398066,0.909367147643,0.975523722011,0.944786504874,0.974875178097
05_10_syn,0.976202369068,0.998420700869,0.926896784063,0.983936737454,0.977743144631,0.991442286525
01_10_syn,0.970011905822,0.997677911795,0.913954231116,0.979679947431,0.95911540579,0.982445756149
05_5_syn,0.975699087418,0.998657626922,0.926345083424,0.985557133268,0.978333854891,0.997063105978
005_10_syn,0.96782588273,0.996673377567,0.908505324364,0.974183889512,0.946924726486,0.980376186606
