#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_nonsyn,0.999922023837,0.999993276863,0.998050122328,0.999424824574,0.996905439817,0.996204390428
05_5_nonsyn,0.999912891344,0.999989980343,0.998241826517,0.999333094673,0.996029041003,0.995446858462
01_10_nonsyn,0.999921319514,0.999991754713,0.997999069649,0.999346043716,0.993483685136,0.992749854349
005_5_nonsyn,0.999919591087,0.999991599943,0.998029572665,0.999357324986,0.996687524304,0.996072472259
05_10_nonsyn,0.999912415138,0.999982288308,0.998265905672,0.999085534577,0.992860193697,0.991511404968
005_10_nonsyn,0.999912346508,0.999990099028,0.997832423347,0.999302199972,0.997170772504,0.996727840996
