OR4A5	2	523	7	518	2.692357	0.649544
AWAT1	2	523	7	518	2.692357	0.649544
SIPA1L3	24	501	34	491	1.428455	0.635854
KNDC1	24	501	34	491	1.428455	0.635854
GSAP	5	520	11	514	2.023301	0.631107
THSD4	14	511	22	503	1.557672	0.607048
ROBO2	14	511	22	503	1.557672	0.607048
HOXB5	14	511	22	503	1.557672	0.607048
TTC8	10	515	17	508	1.658868	0.587962
MBNL1	6	519	12	513	1.878822	0.587406
ZIC4	15	510	23	502	1.523857	0.586831
LTBP4	29	496	39	486	1.360712	0.575991
NPL	16	509	24	501	1.494024	0.568369
ERICH3	16	509	24	501	1.494024	0.568369
CTNND2	11	514	18	507	1.605151	0.562506
RELN	31	494	41	484	1.339562	0.556201
TMEM132A	7	518	13	512	1.770468	0.551036
PARM1	7	518	13	512	1.770468	0.551036
SPAG17	24	501	33	492	1.384828	0.547189
LRRIQ1	42	483	53	472	1.285019	0.542753
VPS37C	1	524	5	520	3.023033	0.541833
TMEM130	1	524	5	520	3.023033	0.541833
PSMD7	1	524	5	520	3.023033	0.541833
NEUROD6	1	524	5	520	3.023033	0.541833
FAM47B	1	524	5	520	3.023033	0.541833
DOCK9	1	524	5	520	3.023033	0.541833
SH3BP5L	33	492	43	482	1.320911	0.538261
PARVG	18	507	26	499	1.443789	0.535833
TXLNB	4	521	9	516	2.019342	0.525410
CCNJL	4	521	9	516	2.019342	0.525410
UROC1	8	517	14	511	1.686198	0.520209
SMOC2	8	517	14	511	1.686198	0.520209
EPCAM	8	517	14	511	1.686198	0.520209
RPAP1	38	487	48	477	1.282695	0.499934
ZNF831	21	504	29	496	1.385586	0.495567
SULF2	9	516	15	510	1.618787	0.493689
MYH7	5	520	10	515	1.851098	0.483687
DPPA3	5	520	10	515	1.851098	0.483687
ZBTB7C	42	483	52	473	1.258561	0.474521
LPP	10	515	16	509	1.563636	0.470586
DCAF4L2	10	515	16	509	1.563636	0.470586
MOXD1	2	523	6	519	2.351282	0.466731
HCN1	2	523	6	519	2.351282	0.466731
FERD3L	2	523	6	519	2.351282	0.466731
F7	2	523	6	519	2.351282	0.466731
BSDC1	2	523	6	519	2.351282	0.466731
ALDH8A1	2	523	6	519	2.351282	0.466731
ACPP	2	523	6	519	2.351282	0.466731
ABCC9	2	523	6	519	2.351282	0.466731
TTN	295	230	311	214	1.132495	0.456299
FRMD7	17	508	24	501	1.408256	0.455541
SRGAP1	6	519	11	514	1.730929	0.449937
SPATA5	6	519	11	514	1.730929	0.449937
OR2T12	6	519	11	514	1.730929	0.449937
NDST4	6	519	11	514	1.730929	0.449937
DSCAM	6	519	11	514	1.730929	0.449937
CSMD1	36	489	45	480	1.266506	0.443297
ABCC6	50	475	60	465	1.221745	0.433663
WWTR1	12	513	18	507	1.478801	0.432183
KCNH3	12	513	18	507	1.478801	0.432183
TOMM22	0	525	3	522	4.022945	0.427348
RBP3	0	525	3	522	4.022945	0.427348
PURB	0	525	3	522	4.022945	0.427348
PITX3	0	525	3	522	4.022945	0.427348
OR2F2	0	525	3	522	4.022945	0.427348
MC5R	0	525	3	522	4.022945	0.427348
HTR1E	0	525	3	522	4.022945	0.427348
GJB1	0	525	3	522	4.022945	0.427348
BROX	0	525	3	522	4.022945	0.427348
CTNNA3	7	518	12	513	1.640807	0.421968
ZFHX4	29	496	37	488	1.287389	0.419921
NLRP1	40	485	49	476	1.242522	0.419779
CSMD3	40	485	49	476	1.242522	0.419779
ZSCAN1	3	522	7	518	2.015414	0.414622
ZNF485	3	522	7	518	2.015414	0.414622
SH2D2A	3	522	7	518	2.015414	0.414622
SERPINA4	3	522	7	518	2.015414	0.414622
OR51G1	3	522	7	518	2.015414	0.414622
OR2V1	3	522	7	518	2.015414	0.414622
KRT16	3	522	7	518	2.015414	0.414622
GBE1	3	522	7	518	2.015414	0.414622
FBXL7	3	522	7	518	2.015414	0.414622
CDH10	3	522	7	518	2.015414	0.414622
LAMA2	42	483	51	474	1.232215	0.409357
ZNF804A	14	511	20	505	1.416601	0.401428
TAF1L	14	511	20	505	1.416601	0.401428
PDGFRA	14	511	20	505	1.416601	0.401428
SEC22A	8	517	13	512	1.570717	0.398339
KIF26B	23	502	30	495	1.309896	0.391279
BSN	34	491	42	483	1.248878	0.386918
MROH2B	24	501	31	494	1.298101	0.382917
FBXO40	24	501	31	494	1.298101	0.382917
PABPC1	65	460	75	450	1.177048	0.379967
ZNF526	9	516	14	511	1.514648	0.378063
XYLT1	9	516	14	511	1.514648	0.378063
MEI1	9	516	14	511	1.514648	0.378063
FBXL18	9	516	14	511	1.514648	0.378063
GAS7	16	509	22	503	1.369048	0.376147
ATP2B2	16	509	22	503	1.369048	0.376147
SPATA31A5,SPATA31A7	4	521	8	517	1.813900	0.375928
SLC4A10	4	521	8	517	1.813900	0.375928
NLRP10	4	521	8	517	1.813900	0.375928
NDUFA13	4	521	8	517	1.813900	0.375928
LDB2	4	521	8	517	1.813900	0.375928
HOXA4	4	521	8	517	1.813900	0.375928
GTPBP3	4	521	8	517	1.813900	0.375928
ETV5	4	521	8	517	1.813900	0.375928
ALS2CL	26	499	33	492	1.277139	0.367648
RUNX3	17	508	23	502	1.349238	0.365100
ANO5	10	515	15	510	1.468778	0.360435
AMER1	10	515	15	510	1.468778	0.360435
VCAN	40	485	48	477	1.215124	0.356018
SI	40	485	48	477	1.215124	0.356018
TMEM143	5	520	9	516	1.679562	0.345834
TEC	5	520	9	516	1.679562	0.345834
SSTR3	5	520	9	516	1.679562	0.345834
RSPH4A	5	520	9	516	1.679562	0.345834
OR4B1	5	520	9	516	1.679562	0.345834
HCFC1	5	520	9	516	1.679562	0.345834
FBXW11	5	520	9	516	1.679562	0.345834
DNAJC11	5	520	9	516	1.679562	0.345834
DLGAP2	5	520	9	516	1.679562	0.345834
C2orf70	5	520	9	516	1.679562	0.345834
BRSK2	5	520	9	516	1.679562	0.345834
SPIDR	19	506	25	500	1.315569	0.345542
TAS2R46	1	524	4	521	2.514368	0.345282
SPRR2D	1	524	4	521	2.514368	0.345282
PROKR1	1	524	4	521	2.514368	0.345282
OR10H4	1	524	4	521	2.514368	0.345282
LRRTM4	1	524	4	521	2.514368	0.345282
HTR5A	1	524	4	521	2.514368	0.345282
ESRRG	1	524	4	521	2.514368	0.345282
COMMD4	1	524	4	521	2.514368	0.345282
B4GAT1	1	524	4	521	2.514368	0.345282
ABCE1	1	524	4	521	2.514368	0.345282
SAXO1	11	514	16	509	1.430556	0.344942
NUTM2F	11	514	16	509	1.430556	0.344942
MCM5	11	514	16	509	1.430556	0.344942
DRD5	11	514	16	509	1.430556	0.344942
COL11A1	20	505	26	499	1.301143	0.336835
PRSS1	31	494	38	487	1.236232	0.336170
GLE1	31	494	38	487	1.236232	0.336170
FMN2	46	479	54	471	1.190047	0.331643
ZNF536	12	513	17	508	1.398217	0.331197
SLC25A51	12	513	17	508	1.398217	0.331197
SPTBN5	32	493	39	486	1.229544	0.330788
RYR2	32	493	39	486	1.229544	0.330788
APOB	32	493	39	486	1.229544	0.330788
UNC13D	21	504	27	498	1.288031	0.328735
CLEC16A	21	504	27	498	1.288031	0.328735
VRK3	6	519	10	515	1.583610	0.321626
SRSF4	6	519	10	515	1.583610	0.321626
RPSA	6	519	10	515	1.583610	0.321626
PLPPR4	6	519	10	515	1.583610	0.321626
PHKA1	6	519	10	515	1.583610	0.321626
PDZRN4	6	519	10	515	1.583610	0.321626
OR52I1	6	519	10	515	1.583610	0.321626
OR4C3	6	519	10	515	1.583610	0.321626
MAST3	6	519	10	515	1.583610	0.321626
IL1R2	6	519	10	515	1.583610	0.321626
GRID2	6	519	10	515	1.583610	0.321626
CYP2C18	6	519	10	515	1.583610	0.321626
CNTN1	6	519	10	515	1.583610	0.321626
SPHKAP	22	503	28	497	1.276061	0.321179
KDM6B	22	503	28	497	1.276061	0.321179
WDR3	13	512	18	507	1.370501	0.318903
SSC4D	13	512	18	507	1.370501	0.318903
POTEI	13	512	18	507	1.370501	0.318903
KIF4B	13	512	18	507	1.370501	0.318903
CACNA1D	13	512	18	507	1.370501	0.318903
NAV3	35	490	42	483	1.211719	0.316080
PDHX	23	502	29	496	1.265091	0.314110
FBLN2	23	502	29	496	1.265091	0.314110
DNAH9	53	472	61	464	1.167901	0.308929
PCDHB14	14	511	19	506	1.346483	0.307830
NPHS1	14	511	19	506	1.346483	0.307830
ERVW-1	14	511	19	506	1.346483	0.307830
ATP8B1	14	511	19	506	1.346483	0.307830
SPTA1	37	488	44	481	1.201409	0.307314
OTOF	38	487	45	480	1.196652	0.303202
NOTCH1	38	487	45	480	1.196652	0.303202
TYRP1	7	518	11	514	1.511650	0.301645
SYNDIG1	7	518	11	514	1.511650	0.301645
SLC22A25	7	518	11	514	1.511650	0.301645
GSDMB	7	518	11	514	1.511650	0.301645
GPNMB	7	518	11	514	1.511650	0.301645
MXRA5	25	500	31	494	1.245688	0.301247
EPHA10	39	486	46	479	1.192135	0.299256
SPEN	57	468	65	460	1.157678	0.298014
SMPD3	15	510	20	505	1.325469	0.297795
NMUR1	15	510	20	505	1.325469	0.297795
KRT28	15	510	20	505	1.325469	0.297795
TRPC6	2	523	5	520	2.011516	0.295905
TPT1	2	523	5	520	2.011516	0.295905
TIMM50	2	523	5	520	2.011516	0.295905
SMAP2	2	523	5	520	2.011516	0.295905
RGS18	2	523	5	520	2.011516	0.295905
PLA2G2A	2	523	5	520	2.011516	0.295905
PIEZO2	2	523	5	520	2.011516	0.295905
NT5C1A	2	523	5	520	2.011516	0.295905
LHX8	2	523	5	520	2.011516	0.295905
KRTAP4-8,KRTAP9-7	2	523	5	520	2.011516	0.295905
KIF2B	2	523	5	520	2.011516	0.295905
GBP6	2	523	5	520	2.011516	0.295905
ANKRD18B	2	523	5	520	2.011516	0.295905
