,0.01_10,0.01_5,0.05_5,0.005_5,0.05_10,0.005_10
0.01_10,/,0.907666345192,0.879512062774,0.921275481801,0.964044191605,0.979551225101
0.01_5,0.899778693402,/,0.959390074597,0.97238075512,0.937696460627,0.884173656281
0.05_5,0.870222822651,0.956035039203,/,0.932748238197,0.898932610362,0.856536975057
0.005_5,0.928133276517,0.974529269724,0.938320910881,/,0.958977926309,0.90429625518
0.05_10,0.960686824631,0.934516913534,0.904686536366,0.958372820489,/,0.94284422707
0.005_10,0.981106953416,0.894002688338,0.868271738131,0.913077199485,0.948134287372,/
