,0.01_10,0.01_5,0.05_5,0.005_5,0.05_10,0.005_10
0.01_10,/,0.917862938375,0.893608430566,0.929268810924,0.970651100862,0.982272349929
0.01_5,0.910044763719,/,0.967548406737,0.97682123887,0.942770634456,0.895555982765
0.05_5,0.884040649515,0.964399650151,/,0.943671387827,0.909998741574,0.871122355535
0.005_5,0.936064695047,0.97883390644,0.949050079601,/,0.961506627735,0.913892818186
0.05_10,0.967451063123,0.939423093697,0.915719858908,0.960480426246,/,0.951247313633
0.005_10,0.983704224264,0.905428888762,0.883073478416,0.922560852468,0.956335023399,/
