,0.01_10,0.01_5,0.05_5,0.005_5,0.05_10,0.005_10
0.01_10,/,0.976660859801,0.964422890085,0.97550955135,0.979831794623,0.99290473763
0.01_5,0.975753396955,/,0.981615013159,0.991538850762,0.975849297587,0.972393399367
0.05_5,0.962956881824,0.980455551687,/,0.967834535615,0.981705074081,0.9555932336
0.005_5,0.976392050718,0.991898635926,0.970192870037,/,0.968615535421,0.973362750309
0.05_10,0.978786259203,0.974923692194,0.982154764615,0.967498069282,/,0.970063148875
0.005_10,0.993266622137,0.973757403656,0.958608620827,0.974532742972,0.972302636075,/
