,0.01_10,0.01_5,0.05_5,0.005_5,0.05_10,0.005_10
0.01_10,/,0.976759869629,0.968738081284,0.978680561057,0.988177699468,0.993986480141
0.01_5,0.976524219504,/,0.990314087033,0.99341393189,0.981947869037,0.974759794367
0.05_5,0.968614594877,0.990343004504,/,0.985350261104,0.979162098546,0.964146111362
0.005_5,0.978944497728,0.993470180769,0.985371585498,/,0.980027284061,0.976452186967
0.05_10,0.988238170909,0.981718070131,0.979332169661,0.979893300113,/,0.983920199273
0.005_10,0.994049440827,0.975060355377,0.964226590922,0.976800735952,0.983808263607,/
