,0.01_10,0.01_5,0.05_5,0.005_5,0.05_10,0.005_10
0.01_10,/,0.856618782314,0.843754295364,0.862942834495,0.969050506864,0.982462366498
0.01_5,0.853538612701,/,0.959866515082,0.972777152398,0.871283040898,0.846750236858
0.05_5,0.839488114148,0.959419970749,/,0.939547551474,0.855863475528,0.831527629805
0.005_5,0.865810111425,0.973197551494,0.940212396194,/,0.88156939026,0.854265109861
0.05_10,0.968876798569,0.869349490609,0.858530717943,0.880239555052,/,0.954493164222
0.005_10,0.982828920854,0.851154009287,0.837279719742,0.858492058538,0.954949762704,/
