,0.01_10,0.01_5,0.05_5,0.005_5,0.05_10,0.005_10
0.01_10,/,0.881108210733,0.872271346926,0.885283051135,0.977023371823,0.986889914251
0.01_5,0.877109734956,/,0.972391659908,0.981203573312,0.893635988119,0.870201837842
0.05_5,0.86627767991,0.971668900393,/,0.955744386901,0.87904712336,0.859932955639
0.005_5,0.888811476694,0.981703726815,0.957073928264,/,0.902884731359,0.877438925425
0.05_10,0.976636660157,0.891135414375,0.882606354222,0.90090822107,/,0.964746731344
0.005_10,0.987293011314,0.876022667124,0.868057348984,0.882502230352,0.965673305479,/
