#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_syn,0.616045940773,0.999718371458,0.53655075008,0.991970924935,0.728913077991,0.842394229693
005_5_syn,0.637944458586,0.99969940655,0.546946932927,0.990877935348,0.672612699612,0.784497594931
05_10_syn,0.122847239137,0.999864345449,0.153174528709,0.994677093946,0.769606308761,0.813717258664
01_10_syn,0.56142336416,0.999718156817,0.490296473427,0.991632294985,0.749607608807,0.905206737596
05_5_syn,0.250548484098,0.99982489681,0.260013063233,0.994413198706,0.766420816624,0.812993015403
005_10_syn,0.604520794658,0.999642729253,0.517717418937,0.99014196832,0.676548397296,0.821041247075
