#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_nonsyn,0.999700239041,0.99975912955,0.99494763959,0.995814930042,0.994015661919,0.997529241399
05_5_nonsyn,0.999694857374,0.999769898416,0.994938014895,0.995983254905,0.996171440895,0.995912246934
01_10_nonsyn,0.999590873638,0.999686477022,0.993714228188,0.99506169785,0.995407089991,0.996143030313
005_5_nonsyn,0.999678076133,0.999736137111,0.994552703252,0.995552657197,0.995740854553,0.995371822208
05_10_nonsyn,0.999600052398,0.999679684936,0.993848202727,0.994904399215,0.995081362352,0.995245722392
005_10_nonsyn,0.999608588448,0.999687399284,0.993787948798,0.994937544633,0.992647203989,0.997179779746
