#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_allbutsyn,0.999763277646,0.999801028932,0.995604888563,0.996330258308,0.99471748749,0.9977935176
01_10_allbutsyn,0.99962078619,0.999710067008,0.994256565219,0.995272814725,0.992981160161,0.994080869688
05_5_allbutsyn,0.999758553994,0.999816144718,0.995643406097,0.996499098834,0.995862533726,0.997930364843
005_10_allbutsyn,0.999607188805,0.999703747974,0.994080396215,0.995288779285,0.995954133313,0.997925112066
05_10_allbutsyn,0.999640909208,0.999720564318,0.994563784556,0.995518101494,0.995214353588,0.996623225499
005_5_allbutsyn,0.999739115669,0.999829699397,0.99528845899,0.996517576457,0.994352290854,0.995507198519
