#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_allbutsyn,0.905773191137,0.999994226427,0.934184339745,0.999507756473,0.798562176466,0.9083812855
01_10_allbutsyn,0.886424325455,0.999994157836,0.920805298941,0.999493831348,0.801796031111,0.928127251577
05_5_allbutsyn,0.726469446138,0.999991832044,0.802533982902,0.99943155484,0.744393825985,0.940244617217
005_10_allbutsyn,0.943551984245,0.999991103258,0.959754916391,0.999370997807,0.83194692714,0.940393808389
05_10_allbutsyn,0.692192755668,0.999982151023,0.77609195105,0.999161991901,0.737944647161,0.957275900767
005_5_allbutsyn,0.958233543881,0.999992511115,0.969900848008,0.999437100043,0.822805103423,0.913588646973
