#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_nonsyn,0.903411102893,0.999993280515,0.931976060879,0.999422927968,0.735646856505,0.859095948458
05_5_nonsyn,0.698070654243,0.999989276872,0.781128779799,0.999302106834,0.710368267387,0.925635748265
01_10_nonsyn,0.877503732511,0.999991753856,0.914015963041,0.999348672843,0.742280664765,0.915533139448
005_5_nonsyn,0.949633060988,0.999992059212,0.963684608817,0.999379695668,0.760357939672,0.889665527511
05_10_nonsyn,0.690064017539,0.999982319218,0.774152671224,0.99909505743,0.713886466043,0.942516492558
005_10_nonsyn,0.942926427829,0.999989606774,0.958920005771,0.999275281956,0.774720803308,0.930109120329
