#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_allbutsyn,0.899788609519,0.99999430638,0.93012686193,0.999513509528,0.795398864951,0.902457327245
01_10_allbutsyn,0.875532568825,0.99999412065,0.913355871504,0.999474267766,0.798907837363,0.92258987081
05_5_allbutsyn,0.728000450752,0.999991871464,0.803817718,0.999439452979,0.750354543881,0.940644166729
005_10_allbutsyn,0.937838743324,0.999991314051,0.955834761953,0.999318503227,0.829192491566,0.938653643484
05_10_allbutsyn,0.672862595354,0.999979498146,0.762028521841,0.999087851206,0.741247664906,0.957697666907
005_5_allbutsyn,0.950570397905,0.999992375458,0.964781504303,0.999434771365,0.807608489456,0.909181700928
