#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_syn,0.970255955954,0.996512076193,0.914198730917,0.971864844305,0.940111493972,0.979651252108
005_5_syn,0.968003970281,0.994951646226,0.908753817991,0.965295828083,0.938789250723,0.97057261923
05_10_syn,0.976365293754,0.997296754645,0.925557044645,0.974990782013,0.945121756098,0.978055049541
01_10_syn,0.970071686056,0.995733022363,0.913958972963,0.969443591553,0.932610859786,0.969375823615
05_5_syn,0.97575086064,0.997644201686,0.924610255647,0.976786265339,0.945972519193,0.98235017277
005_10_syn,0.967798178957,0.99461137061,0.908581208719,0.964140601887,0.932656188568,0.967277942598
