#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_nonsyn,0.914601434482,0.999993277469,0.939619951181,0.999425929904,0.74297631495,0.869770715734
05_5_nonsyn,0.71322495668,0.999989980968,0.792173610062,0.999334405765,0.69965103256,0.928948340485
01_10_nonsyn,0.890990486512,0.999991754973,0.923391029971,0.999347339286,0.746355040891,0.915342997619
005_5_nonsyn,0.958946295386,0.999991601227,0.96999273104,0.999359631205,0.783657979439,0.895276643496
05_10_nonsyn,0.687028262018,0.999982288467,0.77197617089,0.999086290104,0.70274289384,0.941914885279
005_10_nonsyn,0.94836191854,0.999990099342,0.962590487368,0.999303772942,0.769102881426,0.927368234202
