#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_syn,0.91170697782,0.99797461171,0.873214658751,0.981256205174,0.727776895731,0.768634516444
005_5_syn,0.946455643836,0.996946439149,0.89392727069,0.975520896928,0.666577038878,0.640106539216
05_10_syn,0.530979595933,0.998420680038,0.590749068853,0.983931557487,0.575102712094,0.826381593696
01_10_syn,0.883128476935,0.997677921522,0.852040625288,0.979678363478,0.747584833916,0.775249583952
05_5_syn,0.612365040662,0.998657598792,0.652640447175,0.985551584819,0.544486283845,0.80572797477
005_10_syn,0.93902535874,0.996673343623,0.887947927335,0.974182556126,0.665818317819,0.628039188943
