#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_nonsyn,0.892323378933,0.999984032812,0.890927655332,0.998424530749,0.804229565333,0.886880432393
05_5_nonsyn,0.611354885462,0.999991365813,0.694285544651,0.998948007353,0.727101476743,0.821804201547
01_10_nonsyn,0.853523967317,0.999978782969,0.858581378508,0.998133472307,0.805926784795,0.9002722003
005_5_nonsyn,0.939865218306,0.99997819946,0.918947059219,0.998000223011,0.823284888587,0.927473351389
05_10_nonsyn,0.567978639525,0.999986722004,0.657572778176,0.998728109627,0.699208247015,0.803698792305
005_10_nonsyn,0.928688013494,0.999974555523,0.905828450895,0.997773398449,0.833996252502,0.939815142709
