#EXP,SPEARMAN ZERO,SPEARMAN COMMON,KENDALLTAU ZERO,KENDALLTAU COMMON,PEARSON ZERO,PEARSON COMMON
01_5_nonsyn,0.988499365013,0.999998704055,0.960769834136,0.99968508073,0.971322168631,0.998181531388
05_5_nonsyn,0.991562866306,0.999999418907,0.968413612992,0.999804771666,0.978779607332,0.997191164286
01_10_nonsyn,0.985613511606,0.999998253092,0.954628578968,0.99962450994,0.971807046034,0.99678457899
005_5_nonsyn,0.985460887892,0.999997656809,0.953899913055,0.999572630373,0.974389763848,0.99581627897
05_10_nonsyn,0.989497135219,0.999999166093,0.963600827221,0.999762680456,0.977637979273,0.995921915004
005_10_nonsyn,0.982024200097,0.999997317011,0.946968531893,0.999519430083,0.961550634074,0.998055532736
